날짜,조식,중식,석식,breakfast_embedding,lunch_embedding,dinner_embedding
2024-10-18(금),스크램블에그(01)(05)(06)(10)(12),계란말이(12),모듬튀김(01)(02)(05)(06)(12)(15)(16)(18),"[1.96, 15.21, 13.01, [1, 0, 0, 0, 0]]","[2.61, 8.96, 10.18, [1, 0, 0, 0, 0]]","[7.32, 2.88, 1.84, [1, 0, 0, 0, 0]]"
2024-10-18(금),배추김치(09),김가루,순대찜(05)(10),,"[0.0, 0.5, 0.0, [1, 0, 0, 0, 0]]","[3.0, 3.2, 3.0, [1, 0, 0, 0, 0]]"
2024-10-18(금),"우유(백색우유(200ML,연간))(02)",석박지(09),단무지,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[3.93, 0.14, 0.81, [1, 0, 0, 0, 0]]","[0.98, 0.06, 0.21, [1, 0, 0, 0, 0]]"
2024-10-18(금),,초코과자,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[8.86, 3.64, 0.52, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-19(토),뉴욕핫도그(01)(02)(05)(06)(10)(12)(15)(16),셀프참치마요주먹밥,밥,"[15.0, 8.1, 15.0, [1, 0, 0, 0, 0]]",,
2024-10-19(토),모듬피클,팽이버섯장국(01)(05)(06)(18),쇠고기무국(05)(06)(16),"[0, 0, 0, [0, 0, 0, 0, 1]]","[6.96, 0.41, 2.7, [1, 0, 0, 0, 0]]","[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]"
2024-10-19(토),에그마요샐러드(01)(05),훈제닭다리,콩나물불고기(05)(06)(10)(18),"[10.0, 24.5, 9.7, [1, 0, 0, 0, 0]]","[5.0, 14.0, 27.0, [1, 0, 0, 0, 0]]","[5.0, 9.69, 10.21, [1, 0, 0, 0, 0]]"
2024-10-19(토),구슬치즈샐러드(02)(05)(06)(13),깍두기(09),모듬쌈,"[30.0, 5.0, 8.0, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[2.32, 0.11, 0.55, [1, 0, 0, 0, 0]]"
2024-10-19(토),파인애플스틱,"가공우유,빙그레,빙그레바나나맛우유Light,240ml(02)",배추김치(09),"[12.63, 0.12, 0.54, [1, 0, 0, 0, 0]]","[27.0, 4.0, 4.0, [1, 0, 0, 0, 0]]",
2024-10-20(일),밥,치즈닭갈비덮밥(02)(05)(06)(15),밀쌀밥,,,
2024-10-20(일),바지락된장찌개(05)(18),맑은콩나물국(05)(06)(16),해물짬뽕국(08)(09)(17)(18),"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.0, 1.0, 5.0, [1, 0, 0, 0, 0]]","[69.0, 8.0, 18.0, [1, 0, 0, 0, 0]]"
2024-10-20(일),캐슈넛멸치볶음(04)(05)(06)(14)(18),소떡소떡(05)(10)(12),마라불고기(완)(05)(06)(10),"[0, 0, 0, [0, 0, 0, 0, 1]]","[43.32, 13.61, 10.46, [1, 0, 0, 0, 0]]","[40.0, 4.6, 6.0, [1, 0, 0, 0, 0]]"
2024-10-20(일),쇠고기감자조림(05)(06)(16)(18),오이무침,애호박나물(05)(09)(16),"[0, 0, 0, [0, 0, 0, 0, 1]]","[7.72, 1.55, 1.58, [1, 0, 0, 0, 0]]","[8.0, 1.08, 1.16, [1, 0, 0, 0, 0]]"
2024-10-20(일),총각김치,마카로니샐러드(완)(01)(02)(05)(06),깍두기(09),,"[29.0, 15.0, 8.0, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2024-10-20(일),"우유(백색우유(200ML,연간))(02)",배추김치(09),,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-20(일),"생수(500ML,후식)",,,"[29.0, 2.2, 6.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-21(월),밥,찹쌀밥,밥,,,
2024-10-21(월),새우완자탕(05)(06)(08)(09),쇠고기미역국(05)(06)(16),참치김치찌개(05)(09)(16),"[10.0, 3.0, 8.0, [1, 0, 0, 0, 0]]","[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]","[6.11, 4.71, 9.71, [1, 0, 0, 0, 0]]"
2024-10-21(월),떡갈비바볶음(05)(06)(10)(18),불낙볶음(05)(06)(16)(17),칠리새우(05)(06)(09)(12),"[68.0, 8.0, 8.0, [1, 0, 0, 0, 0]]","[66.0, 2.0, 5.0, [1, 0, 0, 0, 0]]","[20.0, 16.0, 4.0, [1, 0, 0, 0, 0]]"
2024-10-21(월),오이풋고추된장무침,계란찜(01),맛김,"[0, 0, 0, [0, 0, 0, 0, 1]]","[2.07, 10.11, 10.05, [1, 0, 0, 0, 0]]","[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]"
2024-10-21(월),배추김치(09),숙주나물무침(05)(06),취나물무침(05)(06)(18),,"[2.58, 0.88, 1.45, [1, 0, 0, 0, 0]]","[5.64, 1.18, 3.14, [1, 0, 0, 0, 0]]"
2024-10-21(월),떠먹는 토핑형 발효유(02),배추김치(09),총각김치,"[27.85, 0.04, 0.08, [1, 0, 0, 0, 0]]",,
2024-10-22(화),군모닝(01)(02)(05)(06)(10),차돌깍두기볶음밥(완)(05)(16),비빔쫄면(01)(05)(06),"[32.0, 13.0, 21.0, [1, 0, 0, 0, 0]]",,"[82.0, 13.0, 9.0, [1, 0, 0, 0, 0]]"
2024-10-22(화),소시지구이(01)(02)(05)(10)(12),유부장국(01)(05)(06),오징어콩나물국(05)(06)(09)(17),"[23.0, 20.0, 11.0, [1, 0, 0, 0, 0]]","[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-22(화),구운달걀,콘립구이(05),순살족발새우젓(05)(06)(09)(10)(16),"[0.38, 4.95, 6.26, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-22(화),시리얼(2),등갈비바베큐조림(05)(06)(10)(18),무말랭이무침(완),"[27.4, 1.12, 2.39, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[30.6, 7.42, 4.62, [1, 0, 0, 0, 0]]"
2024-10-22(화),포테이토크림스프(완)(02)(05)(06)(10)(15)(16),모듬피클,모듬쌈,"[13.0, 2.4, 1.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[2.32, 0.11, 0.55, [1, 0, 0, 0, 0]]"
2024-10-22(화),마늘빵(02)(05)(06),모닝빵딸기쨈(01)(02)(06),겉절이김치(09),"[8.0, 1.0, 1.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-22(화),살사푸실리샐러드(완)(05)(06)(12)(16),눈꽃치즈샐러드(02)(05)(06)(13),"청량음료, 코카콜라음료, 코카콜라, 250mL/캔","[330.0, 75.0, 35.0, [1, 0, 0, 0, 0]]","[18.0, 5.0, 4.0, [1, 0, 0, 0, 0]]","[28.97, 0.27, 0.15, [1, 0, 0, 0, 0]]"
2024-10-22(화),"우유(백색우유(200ML,연간))(02)",,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-23(수),밥,보리밥,밥,,,
2024-10-23(수),얼큰쇠고기무국(05)(06)(16),소갈비탕(완)(05)(06)(16),순두부들깨탕(05)(06)(16),"[9.6, 3.4, 10.0, [1, 0, 0, 0, 0]]","[11.63, 31.26, 33.29, [1, 0, 0, 0, 0]]","[19.0, 19.0, 21.0, [1, 0, 0, 0, 0]]"
2024-10-23(수),스팸짜글이(05)(06)(10)(16)(18),감자조림(05)(06)(18),닭매운찜(05)(06)(15)(16)(18),"[0, 0, 0, [0, 0, 0, 0, 1]]","[6.66, 1.68, 0.79, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-23(수),진미채간장볶음(완)(17),계란말이(완)(01),양념깻잎(09),"[22.53, 17.62, 12.23, [1, 0, 0, 0, 0]]","[2.61, 8.96, 10.18, [1, 0, 0, 0, 0]]","[13.0, 3.0, 2.0, [1, 0, 0, 0, 0]]"
2024-10-23(수),배추김치(09),석박지(09),배추김치(09),,"[3.93, 0.14, 0.81, [1, 0, 0, 0, 0]]",
2024-10-23(수),"우유(백색우유(200ML,연간))(02)","㈜케이헬스바이오, 프로루틴단백질음료 코코아, 250mL",,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[26.58, 5.82, 8.8, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-24(목),밥,흑미밥,밥,,,
2024-10-24(목),쇠고기두부탕국(05)(06)(16),고기듬뿍순댓국(05)(06)(09)(10)(16),얼큰콩나물국(05)(06)(08)(16),"[0, 0, 0, [0, 0, 0, 0, 1]]","[5.0, 3.2, 6.0, [1, 0, 0, 0, 0]]","[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]"
2024-10-24(목),돈육청경채볶음(02)(05)(06)(10)(16)(18),비엔나소시지야채볶음(05)(06)(10)(12)(18),배추김치볶음(05)(09)(16),"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[4.7, 2.46, 4.98, [1, 0, 0, 0, 0]]"
2024-10-24(목),오징어젓무침(17),오복채무침,치킨가스소스(01)(05)(06)(09)(10)(12)(15)(16)(18),"[34.0, 1.7, 9.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[27.0, 3.5, 2.0, [1, 0, 0, 0, 0]]"
2024-10-24(목),가공우유(커피맛)(02),겉절이김치(09),양배추샐러드(케요)(12),"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[7.45, 1.57, 0.77, [1, 0, 0, 0, 0]]"
2024-10-24(목),배추김치(09),,,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-24(목),"생수(500ML,후식)",,,"[29.0, 2.2, 6.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-25(금),밥,현미밥,스팸김치볶음밥(완)(05)(10),,,
2024-10-25(금),소고기된장찌개(16),얼큰새우탕(05)(06)(09),팽이버섯장국(01)(05)(06)(18),"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[6.96, 0.41, 2.7, [1, 0, 0, 0, 0]]"
2024-10-25(금),미트볼채소볶음(05)(06)(12)(18),돼지고기채소볶음(05)(06)(10)(18),후라이드치킨(05)(06)(15),"[0, 0, 0, [0, 0, 0, 0, 1]]","[2.86, 9.51, 8.69, [1, 0, 0, 0, 0]]","[2.2, 17.9, 14.6, [1, 0, 0, 0, 0]]"
2024-10-25(금),시금치고추장무침(16),모듬쌈,양배추샐러드(케요)(12),"[0, 0, 0, [0, 0, 0, 0, 1]]","[2.32, 0.11, 0.55, [1, 0, 0, 0, 0]]","[7.45, 1.57, 0.77, [1, 0, 0, 0, 0]]"
2024-10-25(금),겉절이김치(09),김가루,무피클,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0.0, 0.5, 0.0, [1, 0, 0, 0, 0]]","[2.68, 0.12, 0.4, [1, 0, 0, 0, 0]]"
2024-10-25(금),"우유(백색우유(200ML,연간))(02)",배추김치(09),사과(후지),"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]",,"[13.81, 0.17, 0.26, [1, 0, 0, 0, 0]]"
2024-10-26(토),모듬피클,셀프날김볶주먹밥(05)(06)(09)(18),밥,"[0, 0, 0, [0, 0, 0, 0, 1]]",,
2024-10-26(토),닭가슴살샐러드(05)(06)(13)(15),얼큰홍합무국(맑은홍합탕)(09)(18),김치어묵국(05)(06)(09)(16),"[2.13, 16.36, 11.11, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[190.0, 17.0, 38.0, [1, 0, 0, 0, 0]]"
2024-10-26(토),단호박샐러드(완)(01)(02)(05),구운야채(05),컬리플라워굴소스볶음(05)(06)(09)(18),"[20.0, 13.0, 1.0, [1, 0, 0, 0, 0]]","[15.39, 0.68, 4.18, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-26(토),피자핫도그(01)(02)(05)(06)(10)(12)(15)(16),돈육큐브토마토소스조림(05)(06)(10)(18),돼지간장불고기(05)(06)(10)(18),"[52.0, 23.0, 15.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[5.1, 12.36, 12.13, [1, 0, 0, 0, 0]]"
2024-10-26(토),"청량음료, 코카콜라음료, 스프라이트, 250mL/캔",단무지,깍두기(09),"[28.97, 0.27, 0.15, [1, 0, 0, 0, 0]]","[0.98, 0.06, 0.21, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2024-10-26(토),"우유(백색우유(200ML,연간))(02)",,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-27(일),밥,맑은콩나물국(05)(06)(16),현미밥,,"[3.0, 1.0, 5.0, [1, 0, 0, 0, 0]]",
2024-10-27(일),물만둣국(01)(02)(05)(06)(16),제육덮밥(02)(05)(06)(10),나가사끼짬뽕국(05)(06)(08)(09)(10)(15)(16)(17)(18),"[29.95, 21.79, 24.12, [1, 0, 0, 0, 0]]",,"[74.0, 9.0, 9.0, [1, 0, 0, 0, 0]]"
2024-10-27(일),소시지채소볶음(05)(06)(10)(12)(15)(16)(18),찐만두간장(05)(06),애호박나물(05)(09)(16),"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[8.0, 1.08, 1.16, [1, 0, 0, 0, 0]]"
2024-10-27(일),감자채볶음(05)(06)(16)(18),계란후라이(완)(01)(05),매콤찜닭(05)(06)(15),"[15.24, 6.03, 1.63, [1, 0, 0, 0, 0]]","[0.43, 6.76, 6.24, [1, 0, 0, 0, 0]]","[32.0, 1.5, 2.0, [1, 0, 0, 0, 0]]"
2024-10-27(일),배추김치(09),배추김치(09),총각김치,,,
2024-10-27(일),"우유(백색우유(200ML,연간))(02)","케이크또는파이또는패스트리, 참조은에스에프, 쿠키앤크림스틱치즈케익, 400g(50g8개)상자",,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-27(일),"생수(500ML,후식)",,,"[29.0, 2.2, 6.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-28(월),밥,찹쌀밥,밥,,,
2024-10-28(월),돼지고기애호박찌개(05)(06)(09)(10),쇠고기미역국(05)(06)(16),감자계란국(01)(05)(06)(16),"[0, 0, 0, [0, 0, 0, 0, 1]]","[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-28(월),고추참치볶음(05)(06)(12)(16)(18),돼지갈비찜(완)(05)(06)(10),탕수육(02)(05)(06)(09),"[55.0, 9.0, 14.0, [1, 0, 0, 0, 0]]","[6.36, 19.64, 19.4, [1, 0, 0, 0, 0]]","[21.58, 7.98, 9.0, [1, 0, 0, 0, 0]]"
2024-10-28(월),숙주나물무침(05)(06),계란말이(12),단무지,"[2.58, 0.88, 1.45, [1, 0, 0, 0, 0]]","[2.61, 8.96, 10.18, [1, 0, 0, 0, 0]]","[0.98, 0.06, 0.21, [1, 0, 0, 0, 0]]"
2024-10-28(월),김가루,콩나물무침(05)(06)(18),짜장소스(05)(06)(10),"[0.0, 0.5, 0.0, [1, 0, 0, 0, 0]]","[5.99, 1.13, 2.31, [1, 0, 0, 0, 0]]","[24.3, 4.3, 13.2, [1, 0, 0, 0, 0]]"
2024-10-28(월),겉절이김치(09),배추김치(09),단감,"[0, 0, 0, [0, 0, 0, 0, 1]]",,"[18.48, 0.22, 0.44, [1, 0, 0, 0, 0]]"
2024-10-28(월),"우유(백색우유(200ML,연간))(02)",,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-29(화),참치마요오믈렛(완)(01),밀쌀밥,밥,"[0, 0, 0, [0, 0, 0, 0, 1]]",,
2024-10-04(금),"우유(백색우유(200ML,연간))(02)",겉절이김치(09),치즈핫도그소스(02)(05)(06)(10)(12),"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[25.78, 22.6, 14.75, [1, 0, 0, 0, 0]]"
2024-10-04(금),,,사인머스켓,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[7.94, 11.38, 8.22, [1, 0, 0, 0, 0]]"
2024-10-05(토),구운야채(05),미트볼스파게티(01)(02)(05)(06)(10)(12)(15)(16),밥,"[15.39, 0.68, 4.18, [1, 0, 0, 0, 0]]","[61.0, 13.0, 14.0, [1, 0, 0, 0, 0]]",
2024-10-05(토),무피클,블랙페퍼닭가슴살,새우완자탕(05)(06)(08)(09),"[2.68, 0.12, 0.4, [1, 0, 0, 0, 0]]","[1.0, 1.6, 24.0, [1, 0, 0, 0, 0]]","[10.0, 3.0, 8.0, [1, 0, 0, 0, 0]]"
2024-10-05(토),메추리알샐러드(01),무피클,돼지고기김치볶음(05)(09)(10),"[18.0, 11.0, 6.0, [1, 0, 0, 0, 0]]","[2.68, 0.12, 0.4, [1, 0, 0, 0, 0]]","[2.86, 9.51, 8.69, [1, 0, 0, 0, 0]]"
2024-10-05(토),풀드포크또띠아(02),고구마샐러드(완)(01)(02)(05),연두부양념장(05)(06)(18),"[0, 0, 0, [0, 0, 0, 0, 1]]","[29.0, 16.0, 1.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-05(토),대추방울토마토(비생산기)(12),,총각김치,"[3.54, 0.18, 0.79, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]",
2024-10-05(토),"청량음료, 코카콜라음료, 환타오렌지향, 250mL/캔",,,"[28.97, 0.27, 0.15, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-06(일),밥,현미밥,밥,,,
2024-10-06(일),배추쇠고기국(05)(06)(16),김치물만둣국(05)(06)(09)(16),얼큰콩나물국(05)(06)(08)(16),"[0, 0, 0, [0, 0, 0, 0, 1]]","[9.5, 55.0, 39.0, [1, 0, 0, 0, 0]]","[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]"
2024-10-06(일),오징어볶음(05)(06)(17)(18),훈제오리야채볶음(01)(05)(15),돼지고기채소볶음(05)(06)(10)(18),"[8.66, 4.59, 12.41, [1, 0, 0, 0, 0]]","[100.0, 23.0, 39.0, [1, 0, 0, 0, 0]]","[2.86, 9.51, 8.69, [1, 0, 0, 0, 0]]"
2024-10-06(일),계란후라이(완)(01)(05),김자반,시금치무침(05)(06),"[0.43, 6.76, 6.24, [1, 0, 0, 0, 0]]","[3.93, 4.58, 3.51, [1, 0, 0, 0, 0]]","[8.39, 3.14, 3.78, [1, 0, 0, 0, 0]]"
2024-10-06(일),콩나물무침(05)(06)(18),쌈무(13),겉절이김치(09),"[5.99, 1.13, 2.31, [1, 0, 0, 0, 0]]","[0.6, 0.04, 0.16, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-06(일),깍두기(09),파김치,,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[3.13, 0.12, 0.76, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-06(일),"우유(백색우유(200ML,연간))(02)",마카롱,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[10.43, 2.41, 1.06, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-06(일),"생수(500ML,후식)",,,"[29.0, 2.2, 6.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-07(월),밥,찹쌀밥,밥,,,
2024-10-07(월),참치찌개(05)(06)(09),닭고기미역국(05)(06)(15),부대찌개(01)(02)(05)(06)(09)(10)(16)(18),"[6.11, 4.71, 9.71, [1, 0, 0, 0, 0]]","[2.0, 3.0, 9.0, [1, 0, 0, 0, 0]]","[41.11, 38.55, 27.7, [1, 0, 0, 0, 0]]"
2024-10-07(월),명엽채볶음(05)(06)(18),파채소불고기(05)(06),새우꼬치(05)(06)(09)(12),"[75.22, 6.21, 0.67, [1, 0, 0, 0, 0]]","[49.0, 12.0, 12.0, [1, 0, 0, 0, 0]]","[17.0, 2.0, 18.0, [1, 0, 0, 0, 0]]"
2024-10-07(월),스팸두부조림(05)(06)(10)(18),미트소스치즈달걀말이(완)(02)(05)(06)(10)(12)(15)(16),김자반,"[2.51, 9.94, 6.42, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[3.93, 4.58, 3.51, [1, 0, 0, 0, 0]]"
2024-10-07(월),오이무침,마늘쫑무침,어묵야채조림(05)(06)(18),"[7.72, 1.55, 1.58, [1, 0, 0, 0, 0]]","[11.05, 2.72, 2.29, [1, 0, 0, 0, 0]]","[19.46, 3.84, 5.02, [1, 0, 0, 0, 0]]"
2024-10-07(월),배추김치(09),배추김치(09),깍두기(09),,,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2024-10-07(월),"우유(백색우유(200ML,연간))(02)",,에너지바(02)(04)(05)(06),"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[19.0, 11.0, 6.0, [1, 0, 0, 0, 0]]"
2024-10-08(화),구운달걀,밀쌀밥,밥,"[0.38, 4.95, 6.26, [1, 0, 0, 0, 0]]",,
2024-10-08(화),미니소시지구이(02)(05)(06)(10)(12)(16),미역된장국(05)(16),맑은순두부계란탕(01)(05)(06)(16),"[0, 0, 0, [0, 0, 0, 0, 1]]","[2.34, 0.08, 1.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-08(화),단호박크림스프,"모듬까스(돈가스,새우,생선가스)(01)(02)(05)(06)(09)(10)(12)(16)(18)",고구마떡닭갈비(05)(06)(15)(18),"[33.0, 14.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-08(화),캐슈넛샐러드(04)(05)(06)(13)(14),실곤약채소무침,무말랭이무침(완),"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[30.6, 7.42, 4.62, [1, 0, 0, 0, 0]]"
2024-10-08(화),베이글크림치즈(01)(02)(06),깍두기(09),배추김치(09),"[33.0, 12.0, 10.0, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]",
2024-10-08(화),시리얼(1),,사인머스켓,"[27.4, 1.12, 2.39, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[7.94, 11.38, 8.22, [1, 0, 0, 0, 0]]"
2024-10-08(화),"우유(백색우유(200ML,연간))(02)",,,"[4.6, 4.0, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2024-10-09(수),밥,대패삼겹살굴소스덮밥(05)(06)(10)(18),보리밥,,,
2024-10-09(수),꼬리곰탕(완)(16),돈코츠숙주국(10),돼지고기김치찌개(09)(10)(16),"[7.0, 13.0, 32.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]"
2024-10-09(수),미트볼채소볶음(05)(06)(12)(18),닭윙구이(01)(05)(06)(15),갈비만두간장(05)(06)(10),"[0, 0, 0, [0, 0, 0, 0, 1]]","[12.0, 11.0, 14.0, [1, 0, 0, 0, 0]]","[6.76, 3.86, 4.01, [1, 0, 0, 0, 0]]"
