날짜,식사시간,메뉴,칼로리
2023-09-27,점심,만두국,582
2023-09-27,저녁,닭한마리,805
2023-09-28,아침,떡볶이,609
2023-09-28,점심,제육볶음,843
2023-09-28,저녁,유부초밥,746
2023-09-29,아침,해물탕,540
2023-09-29,점심,바지락칼국수,633
2023-09-29,저녁,낙지볶음,811
2023-09-30,아침,육개장,778
2023-09-30,점심,매운치킨,434
2023-09-30,저녁,육개장,368
2023-10-01,아침,양념게장,751
2023-10-01,점심,샤브샤브,700
2023-10-01,저녁,샌드위치,628
2023-10-02,아침,새우장,848
2023-10-02,점심,오징어볶음,859
2023-10-02,저녁,계란말이,676
2023-10-03,아침,북엇국,702
2023-10-03,점심,알밥,301
2023-10-03,저녁,삼겹살,890
2023-10-04,아침,고기국수,334
2023-10-04,점심,함박스테이크,721
2023-10-04,저녁,매운탕,679
2023-10-05,아침,참치김밥,577
2023-10-05,점심,스팸김치찌개,464
2023-10-05,저녁,닭볶음탕,833
2023-10-06,아침,새우튀김,478
2023-10-06,점심,우삼겹덮밥,882
2023-10-06,저녁,새우튀김,818
2023-10-07,아침,닭한마리,452
2023-10-07,점심,순대국,699
2023-10-07,저녁,물냉면,784
2023-10-08,아침,볶음밥,661
2023-10-08,점심,불닭볶음면,787
2023-10-08,저녁,전복죽,883
2023-10-09,아침,볶음밥,380
2023-10-09,점심,부대찌개,642
2023-10-09,저녁,불고기,809
2023-10-10,아침,양장피,882
2023-10-10,점심,새우튀김,807
2023-10-10,저녁,쭈꾸미볶음,724
2023-10-11,아침,차슈덮밥,443
2023-10-11,점심,돼지갈비,831
2023-10-11,저녁,떡국,390
2023-10-12,아침,고기국수,490
2023-10-12,점심,전복죽,794
2023-10-12,저녁,북엇국,531
2023-10-13,아침,치킨,895
2023-10-13,점심,양장피,698
2023-10-13,저녁,우동,615
2023-10-14,아침,라멘,781
2023-10-14,점심,스팸김치찌개,436
2023-10-14,저녁,알밥,899
2023-10-15,아침,콩국수,492
2023-10-15,점심,치즈떡볶이,690
2023-10-15,저녁,함박스테이크,592
2023-10-16,아침,떡만둣국,351
2023-10-16,점심,닭볶음탕,350
2023-10-16,저녁,돼지고기김치찜,419
2023-10-17,아침,아구찜,415
2023-10-17,점심,마파두부,572
2023-10-17,저녁,비빔밥,786
2023-10-18,아침,쌀국수,625
2023-10-18,점심,어묵탕,785
2023-10-18,저녁,떡만둣국,401
2023-10-19,아침,볶음밥,487
2023-10-19,점심,치즈떡볶이,360
2023-10-19,저녁,삼겹살,597
2023-10-20,아침,부대찌개,339
2023-10-20,점심,설렁탕,836
2023-10-20,저녁,크림파스타,777
2023-10-21,아침,크림파스타,508
2023-10-21,점심,오리구이,648
2023-10-21,저녁,돼지국밥,437
2023-10-22,아침,삼계탕,390
2023-10-22,점심,콩나물국밥,719
2023-10-22,저녁,삼겹살,364
2023-10-23,아침,해물탕,350
2023-10-23,점심,새우튀김,831
2023-10-23,저녁,굴국밥,821
2023-10-24,아침,콩국수,442
2023-10-24,점심,설렁탕,307
2023-10-24,저녁,갈비찜,610
2023-10-25,아침,굴국밥,462
2023-10-25,점심,삼겹살,617
2023-10-25,저녁,라면,721
2023-10-26,아침,라멘,829
2023-10-26,점심,참치김밥,874
2023-10-26,저녁,새우장,661
2023-10-27,아침,돈까스덮밥,679
2023-10-27,점심,비빔밥,490
2023-10-27,저녁,매운치킨,868
2023-10-28,아침,불닭볶음면,348
2023-10-28,점심,참치김밥,775
2023-10-28,저녁,갈릭버터새우,781
2023-10-29,아침,계란말이,371
2023-10-29,점심,보쌈,847
2023-10-29,저녁,간장새우,381
2023-10-30,아침,육회,533
2023-10-30,점심,치즈떡볶이,811
2023-10-30,저녁,스팸김치찌개,769
2023-10-31,아침,콩나물국밥,386
2023-10-31,점심,계란말이,324
2023-10-31,저녁,어묵탕,762
2023-11-01,아침,쭈꾸미볶음,777
2023-11-01,점심,닭갈비,663
2023-11-01,저녁,돈까스카레,306
2023-11-02,아침,비빔냉면,855
2023-11-02,점심,전복죽,610
2023-11-02,저녁,우삼겹덮밥,695
2023-11-03,아침,떡볶이,484
2023-11-03,점심,순두부찌개,807
2023-11-03,저녁,오징어볶음,752
2023-11-04,아침,함박스테이크,490
2023-11-04,점심,순대국,492
2023-11-04,저녁,짜장면,880
2023-11-05,아침,회,625
2023-11-05,점심,육회,639
2023-11-05,저녁,돼지국밥,711
2023-11-06,아침,돼지갈비,316
2023-11-06,점심,김치볶음밥,410
2023-11-06,저녁,굴국밥,854
2023-11-07,아침,김밥,526
2023-11-07,점심,냉채족발,432
2023-11-07,저녁,닭갈비,815
2023-11-08,아침,크림파스타,872
2023-11-08,점심,쌀국수,359
2023-11-08,저녁,치킨,885
2023-11-09,아침,유부초밥,556
2023-11-09,점심,보쌈,738
2023-11-09,저녁,크림파스타,442
2023-11-10,아침,명란파스타,732
2023-11-10,점심,참치김밥,820
2023-11-10,저녁,유부초밥,893
2023-11-11,아침,우삼겹덮밥,535
2023-11-11,점심,바지락칼국수,727
2023-11-11,저녁,육개장,611
2023-11-12,아침,삼계탕,349
2023-11-12,점심,잡채,672
2023-11-12,저녁,훈제오리샐러드,536
2023-11-13,아침,치즈라면,329
2023-11-13,점심,떡볶이,663
2023-11-13,저녁,칼국수,887
2023-11-14,아침,떡볶이,838
2023-11-14,점심,비빔국수,517
2023-11-14,저녁,부대찌개,864
2023-11-15,아침,비빔냉면,852
2023-11-15,점심,순대볶음,531
2023-11-15,저녁,김밥,382
2023-11-16,아침,돈까스카레,894
2023-11-16,점심,제육볶음,321
2023-11-16,저녁,치즈라면,732
2023-11-17,아침,갈릭버터새우,900
2023-11-17,점심,돼지국밥,541
2023-11-17,저녁,짬뽕,675
2023-11-18,아침,참치김밥,532
2023-11-18,점심,우삼겹덮밥,797
2023-11-18,저녁,된장찌개,650
2023-11-19,아침,김치전,473
2023-11-19,점심,수제비,465
2023-11-19,저녁,삼계탕,377
2023-11-20,아침,카레,867
2023-11-20,점심,갈비찜,773
2023-11-20,저녁,된장찌개,774
2023-11-21,아침,계란말이,410
2023-11-21,점심,돈까스덮밥,678
2023-11-21,저녁,족발,744
2023-11-22,아침,로제떡볶이,664
2023-11-22,점심,돈까스덮밥,768
2023-11-22,저녁,차슈덮밥,617
2023-11-23,아침,해물파전,318
2023-11-23,점심,훈제오리샐러드,714
2023-11-23,저녁,떡국,325
2023-11-24,아침,삼겹살,526
2023-11-24,점심,치즈돈까스,484
2023-11-24,저녁,오리구이,712
2023-11-25,아침,양념게장,645
2023-11-25,점심,비빔냉면,444
2023-11-25,저녁,치킨,741
2023-11-26,아침,제육볶음,483
2023-11-26,점심,차돌박이,364
2023-11-26,저녁,크림파스타,599
2023-11-27,아침,샤브샤브,421
2023-11-27,점심,스팸김치찌개,572
2023-11-27,저녁,코다리조림,714
2023-11-28,아침,떡볶이,521
2023-11-28,점심,코다리조림,722
2023-11-28,저녁,수제비,697
2023-11-29,아침,매운치킨,588
2023-11-29,점심,어묵탕,334
2023-11-29,저녁,고기국수,394
2023-11-30,아침,간장새우,385
2023-11-30,점심,차슈덮밥,746
2023-11-30,저녁,비빔밥,786
2023-12-01,아침,삼겹살,844
2023-12-01,점심,갈릭버터새우,772
2023-12-01,저녁,김치전,402
2023-12-02,아침,닭한마리,812
2023-12-02,점심,김치전,623
2023-12-02,저녁,마파두부,512
2023-12-03,아침,해물탕,898
2023-12-03,점심,마파두부,705
2023-12-03,저녁,돈까스,897
2023-12-04,아침,갈릭버터새우,895
2023-12-04,점심,쌀국수,450
2023-12-04,저녁,삼계탕,516
2023-12-05,아침,돈까스,457
2023-12-05,점심,닭한마리,694
2023-12-05,저녁,삼겹살,567
2023-12-06,아침,감자탕,836
2023-12-06,점심,김밥,526
2023-12-06,저녁,카레,544
2023-12-07,아침,샐러드파스타,735
2023-12-07,점심,회덮밥,422
2023-12-07,저녁,떡만둣국,547
2023-12-08,아침,볶음밥,578
2023-12-08,점심,파전,777
2023-12-08,저녁,불고기,794
2023-12-09,아침,바지락칼국수,711
2023-12-09,점심,부대찌개,543
2023-12-09,저녁,닭강정,532
2023-12-10,아침,닭갈비,481
2023-12-10,점심,새우튀김,626
2023-12-10,저녁,잡채,816
2023-12-11,아침,회덮밥,820
2023-12-11,점심,닭가슴살샐러드,779
2023-12-11,저녁,짬뽕,306
2023-12-12,아침,돼지국밥,777
2023-12-12,점심,김치전,560
2023-12-12,저녁,짬뽕,566
2023-12-13,아침,냉면,365
2023-12-13,점심,카레,563
2023-12-13,저녁,낙곱새,555
2023-12-14,아침,오징어볶음,531
2023-12-14,점심,참치김밥,880
2023-12-14,저녁,김치볶음밥,472
2023-12-15,아침,스시롤,821
2023-12-15,점심,회덮밥,483
2023-12-15,저녁,간장게장,839
2023-12-16,아침,설렁탕,612
2023-12-16,점심,마파두부,451
2023-12-16,저녁,볶음밥,817
2023-12-17,아침,전복죽,879
2023-12-17,점심,비빔냉면,576
2023-12-17,저녁,만두국,681
2023-12-18,아침,고추장불고기,734
2023-12-18,점심,스시롤,617
2023-12-18,저녁,만두국,536
2023-12-19,아침,잔치국수,765
2023-12-19,점심,비빔냉면,609
2023-12-19,저녁,동태찌개,743
2023-12-20,아침,짜장면,591
2023-12-20,점심,비빔국수,353
2023-12-20,저녁,떡국,505
2023-12-21,아침,순대볶음,855
2023-12-21,점심,치즈라면,660
2023-12-21,저녁,우삼겹덮밥,635
2023-12-22,아침,치즈떡볶이,900
2023-12-22,점심,오리구이,533
2023-12-22,저녁,비빔밥,818
2023-12-23,아침,부대찌개,650
2023-12-23,점심,김밥,322
2023-12-23,저녁,비빔냉면,841
2023-12-24,아침,함박스테이크,512
2023-12-24,점심,오징어볶음,460
2023-12-24,저녁,고등어구이,587
2023-12-25,아침,양념게장,815
2023-12-25,점심,치즈떡볶이,849
2023-12-25,저녁,볶음밥,533
2023-12-26,아침,회덮밥,886
2023-12-26,점심,매운탕,740
2023-12-26,저녁,스팸김치찌개,686
2023-12-27,아침,고등어구이,802
2023-12-27,점심,초밥,374
2023-12-27,저녁,차돌박이,426
2023-12-28,아침,짜장면,727
2023-12-28,점심,치즈떡볶이,862
2023-12-28,저녁,돈까스카레,716
2023-12-29,아침,치즈라면,630
2023-12-29,점심,치즈돈까스,638
2023-12-29,저녁,동태찌개,528
2023-12-30,아침,고등어구이,374
2023-12-30,점심,삼겹살,487
2023-12-30,저녁,칼국수,647
2023-12-31,아침,쭈꾸미볶음,823
2023-12-31,점심,회,585
2023-12-31,저녁,김치전,851
2024-01-01,아침,훈제연어샐러드,722
2024-01-01,점심,감자탕,581
2024-01-01,저녁,새우장,838
2024-01-02,아침,크림파스타,899
2024-01-02,점심,훈제연어샐러드,467
2024-01-02,저녁,물냉면,666
2024-01-03,아침,우삼겹덮밥,887
2024-01-03,점심,칼국수,675
2024-01-03,저녁,훈제오리샐러드,844
2024-01-04,아침,동태찌개,385
2024-01-04,점심,고기국수,586
2024-01-04,저녁,낙지볶음,563
2024-01-05,아침,양꼬치,445
2024-01-05,점심,양꼬치,692
2024-01-05,저녁,로제떡볶이,671
2024-01-06,아침,잡채,830
2024-01-06,점심,스팸김치찌개,864
2024-01-06,저녁,초밥,505
2024-01-07,아침,육회,657
2024-01-07,점심,샤브샤브,630
2024-01-07,저녁,된장찌개,700
2024-01-08,아침,낙지볶음,765
2024-01-08,점심,비빔국수,768
2024-01-08,저녁,샐러드파스타,409
2024-01-09,아침,오징어볶음,543
2024-01-09,점심,된장찌개,616
2024-01-09,저녁,유부초밥,429
2024-01-10,아침,닭가슴살샐러드,551
2024-01-10,점심,콩나물국밥,341
2024-01-10,저녁,샐러드파스타,347
2024-01-11,아침,고등어구이,889
2024-01-11,점심,떡국,329
2024-01-11,저녁,불닭볶음면,854
2024-01-12,아침,보쌈,522
2024-01-12,점심,스팸김치찌개,689
2024-01-12,저녁,계란말이,534
2024-01-13,아침,잡채,832
2024-01-13,점심,매운치킨,311
2024-01-13,저녁,돼지갈비,785
2024-01-14,아침,육회,423
2024-01-14,점심,잔치국수,898
2024-01-14,저녁,차돌박이,768
2024-01-15,아침,치즈돈까스,573
2024-01-15,점심,설렁탕,688
2024-01-15,저녁,라면,860
2024-01-16,아침,샤브샤브,315
2024-01-16,점심,곱창전골,491
2024-01-16,저녁,갈릭버터새우,793
2024-01-17,아침,카레,329
2024-01-17,점심,쌀국수,307
2024-01-17,저녁,크림파스타,709
2024-01-18,아침,함박스테이크,732
2024-01-18,점심,굴국밥,432
2024-01-18,저녁,된장찌개,898
2024-01-19,아침,닭한마리,896
2024-01-19,점심,떡국,623
2024-01-19,저녁,부대찌개,631
2024-01-20,아침,샌드위치,418
2024-01-20,점심,볶음밥,576
2024-01-20,저녁,김치볶음밥,609
2024-01-21,아침,북엇국,626
2024-01-21,점심,불고기,659
2024-01-21,저녁,스시롤,820
2024-01-22,아침,회덮밥,692
2024-01-22,점심,볶음밥,888
2024-01-22,저녁,물냉면,656
2024-01-23,아침,닭강정,441
2024-01-23,점심,양장피,642
2024-01-23,저녁,족발,367
2024-01-24,아침,갈비탕,764
2024-01-24,점심,고기국수,684
2024-01-24,저녁,유부초밥,362
2024-01-25,아침,훈제연어샐러드,788
2024-01-25,점심,아구찜,685
2024-01-25,저녁,차슈덮밥,726
2024-01-26,아침,돼지고기김치찜,462
2024-01-26,점심,닭갈비,526
2024-01-26,저녁,닭한마리,630
2024-01-27,아침,콩나물국밥,418
2024-01-27,점심,된장국,876
2024-01-27,저녁,회덮밥,578
2024-01-28,아침,콩국수,626
2024-01-28,점심,매운치킨,695
2024-01-28,저녁,낙지볶음,348
2024-01-29,아침,닭가슴살샐러드,659
2024-01-29,점심,카레,443
2024-01-29,저녁,마파두부,494
2024-01-30,아침,닭볶음탕,812
2024-01-30,점심,우삼겹덮밥,710
2024-01-30,저녁,육회,732
2024-01-31,아침,김치볶음밥,427
2024-01-31,점심,치즈라면,634
2024-01-31,저녁,짜장면,465
2024-02-01,아침,돈까스카레,458
2024-02-01,점심,수제비,303
2024-02-01,저녁,떡볶이,354
2024-02-02,아침,떡국,865
2024-02-02,점심,쌀국수,613
2024-02-02,저녁,쌀국수,311
2024-02-03,아침,계란말이,451
2024-02-03,점심,마파두부,637
2024-02-03,저녁,낙지볶음,521
2024-02-04,아침,샌드위치,662
2024-02-04,점심,제육볶음,459
2024-02-04,저녁,깐풍기,641
2024-02-05,아침,냉채족발,568
2024-02-05,점심,돼지고기김치찜,548
2024-02-05,저녁,유부초밥,602
2024-02-06,아침,라멘,449
2024-02-06,점심,떡볶이,657
2024-02-06,저녁,제육볶음,809
2024-02-07,아침,샤브샤브,629
2024-02-07,점심,매운치킨,420
2024-02-07,저녁,치즈라면,833
2024-02-08,아침,순대볶음,443
2024-02-08,점심,치즈돈까스,848
2024-02-08,저녁,제육볶음,307
2024-02-09,아침,불고기,763
2024-02-09,점심,양장피,757
2024-02-09,저녁,쭈꾸미볶음,328
2024-02-10,아침,로제떡볶이,700
2024-02-10,점심,떡만둣국,681
2024-02-10,저녁,떡만둣국,781
2024-02-11,아침,샐러드파스타,694
2024-02-11,점심,고등어구이,811
2024-02-11,저녁,매운치킨,624
2024-02-12,아침,짬뽕,378
2024-02-12,점심,삼계탕,583
2024-02-12,저녁,오징어볶음,532
2024-02-13,아침,훈제오리샐러드,618
2024-02-13,점심,크림파스타,814
2024-02-13,저녁,닭갈비,867
2024-02-14,아침,김치전,454
2024-02-14,점심,훈제오리샐러드,899
2024-02-14,저녁,김치찌개,560
2024-02-15,아침,돈까스덮밥,311
2024-02-15,점심,스시롤,302
2024-02-15,저녁,아구찜,592
2024-02-16,아침,새우튀김,331
2024-02-16,점심,냉채족발,304
2024-02-16,저녁,깐풍기,345
2024-02-17,아침,초밥,542
2024-02-17,점심,비빔냉면,420
2024-02-17,저녁,해물파전,869
2024-02-18,아침,코다리조림,409
2024-02-18,점심,닭갈비,670
2024-02-18,저녁,스팸김치찌개,684
2024-02-19,아침,갈비탕,574
2024-02-19,점심,콩국수,412
2024-02-19,저녁,갈비찜,325
2024-02-20,아침,짬뽕,499
2024-02-20,점심,짜장면,449
2024-02-20,저녁,스테이크,646
2024-02-21,아침,된장찌개,784
2024-02-21,점심,새우장,810
2024-02-21,저녁,치즈라면,853
2024-02-22,아침,샌드위치,884
2024-02-22,점심,만두국,419
2024-02-22,저녁,보쌈,898
2024-02-23,아침,칼국수,504
2024-02-23,점심,돼지국밥,490
2024-02-23,저녁,치즈떡볶이,533
2024-02-24,아침,족발,552
2024-02-24,점심,해물탕,659
2024-02-24,저녁,우삼겹덮밥,702
2024-02-25,아침,순대국,785
2024-02-25,점심,갈릭버터새우,539
2024-02-25,저녁,닭갈비,371
2024-02-26,아침,설렁탕,606
2024-02-26,점심,라면,339
2024-02-26,저녁,스테이크,867
2024-02-27,아침,알밥,697
2024-02-27,점심,떡만둣국,468
2024-02-27,저녁,샐러드파스타,778
2024-02-28,아침,떡볶이,611
2024-02-28,점심,훈제연어샐러드,827
2024-02-28,저녁,떡볶이,373
2024-02-29,아침,잡채,369
2024-02-29,점심,떡볶이,647
2024-02-29,저녁,훈제오리샐러드,854
2024-03-01,아침,돈까스덮밥,685
2024-03-01,점심,전복죽,816
2024-03-01,저녁,고기국수,823
2024-03-02,아침,짬뽕,625
2024-03-02,점심,낙지볶음,566
2024-03-02,저녁,된장찌개,434
2024-03-03,아침,냉채족발,827
2024-03-03,점심,함박스테이크,497
2024-03-03,저녁,새우볶음밥,871
2024-03-04,아침,동태찌개,681
2024-03-04,점심,스팸김치찌개,334
2024-03-04,저녁,치즈떡볶이,675
2024-03-05,아침,마파두부,848
2024-03-05,점심,떡국,663
2024-03-05,저녁,치즈떡볶이,440
2024-03-06,아침,스팸김치찌개,620
2024-03-06,점심,해물탕,480
2024-03-06,저녁,떡만둣국,708
2024-03-07,아침,된장찌개,622
2024-03-07,점심,샐러드파스타,764
2024-03-07,저녁,순대국,351
2024-03-08,아침,라면,817
2024-03-08,점심,족발,412
2024-03-08,저녁,간장게장,732
2024-03-09,아침,닭갈비,670
2024-03-09,점심,비빔국수,738
2024-03-09,저녁,돈까스,872
2024-03-10,아침,쭈꾸미볶음,351
2024-03-10,점심,감자탕,557
2024-03-10,저녁,갈비찜,843
2024-03-11,아침,육회,475
2024-03-11,점심,떡볶이,681
2024-03-11,저녁,우삼겹덮밥,862
2024-03-12,아침,초밥,788
2024-03-12,점심,제육볶음,537
2024-03-12,저녁,알밥,592
2024-03-13,아침,초밥,528
2024-03-13,점심,냉면,731
2024-03-13,저녁,비빔냉면,798
2024-03-14,아침,코다리조림,535
2024-03-14,점심,낙곱새,900
2024-03-14,저녁,해물탕,663
2024-03-15,아침,차슈덮밥,340
2024-03-15,점심,돈까스,324
2024-03-15,저녁,육개장,713
2024-03-16,아침,김치찌개,517
2024-03-16,점심,차슈덮밥,792
2024-03-16,저녁,고추장불고기,677
2024-03-17,아침,육회,679
2024-03-17,점심,굴국밥,606
2024-03-17,저녁,돼지갈비,314
2024-03-18,아침,짜장면,307
2024-03-18,점심,순두부찌개,524
2024-03-18,저녁,양념게장,473
2024-03-19,아침,갈비찜,580
2024-03-19,점심,양념게장,312
2024-03-19,저녁,보쌈,338
2024-03-20,아침,갈릭버터새우,855
2024-03-20,점심,해물탕,385
2024-03-20,저녁,냉면,442
2024-03-21,아침,양장피,684
2024-03-21,점심,알밥,397
2024-03-21,저녁,닭갈비,451
2024-03-22,아침,김치찌개,840
2024-03-22,점심,순대국,562
2024-03-22,저녁,고추장불고기,766
2024-03-23,아침,회,368
2024-03-23,점심,새우튀김,756
2024-03-23,저녁,전복죽,416
2024-03-24,아침,함박스테이크,748
2024-03-24,점심,냉면,332
2024-03-24,저녁,닭가슴살샐러드,665
2024-03-25,아침,김밥,757
2024-03-25,점심,육개장,583
2024-03-25,저녁,아구찜,726
2024-03-26,아침,곱창전골,798
2024-03-26,점심,치킨,644
2024-03-26,저녁,회덮밥,507
2024-03-27,아침,짜장면,622
2024-03-27,점심,짜장면,391
2024-03-27,저녁,떡볶이,801
2024-03-28,아침,낙곱새,848
2024-03-28,점심,양장피,624
2024-03-28,저녁,감자탕,608
2024-03-29,아침,회,541
2024-03-29,점심,비빔국수,794
2024-03-29,저녁,유부초밥,509
2024-03-30,아침,차슈덮밥,477
2024-03-30,점심,닭가슴살샐러드,654
2024-03-30,저녁,돈까스카레,766
2024-03-31,아침,닭가슴살샐러드,789
2024-03-31,점심,로제떡볶이,628
2024-03-31,저녁,고추장불고기,861
2024-04-01,아침,족발,509
2024-04-01,점심,해물파전,834
2024-04-01,저녁,수제비,488
2024-04-02,아침,치즈돈까스,470
2024-04-02,점심,짬뽕,469
2024-04-02,저녁,김치전,781
2024-04-03,아침,샌드위치,684
2024-04-03,점심,불고기,781
2024-04-03,저녁,닭갈비,449
2024-04-04,아침,함박스테이크,511
2024-04-04,점심,김밥,690
2024-04-04,저녁,고기국수,365
2024-04-05,아침,오징어볶음,588
2024-04-05,점심,짜장면,713
2024-04-05,저녁,오징어볶음,804
2024-04-06,아침,갈비찜,578
2024-04-06,점심,짬뽕,872
2024-04-06,저녁,마파두부,530
2024-04-07,아침,파전,666
2024-04-07,점심,갈비탕,602
2024-04-07,저녁,삼계탕,322
2024-04-08,아침,육개장,787
2024-04-08,점심,제육볶음,689
2024-04-08,저녁,파전,672
2024-04-09,아침,로제떡볶이,771
2024-04-09,점심,육회,615
2024-04-09,저녁,우삼겹덮밥,327
2024-04-10,아침,순두부찌개,792
2024-04-10,점심,순두부찌개,859
2024-04-10,저녁,볶음밥,831
2024-04-11,아침,낙곱새,307
2024-04-11,점심,훈제연어샐러드,484
2024-04-11,저녁,오리구이,470
2024-04-12,아침,돈까스카레,781
2024-04-12,점심,유부초밥,455
2024-04-12,저녁,우삼겹덮밥,445
2024-04-13,아침,삼계탕,416
2024-04-13,점심,오징어볶음,799
2024-04-13,저녁,유부초밥,673
2024-04-14,아침,낙곱새,365
2024-04-14,점심,파전,742
2024-04-14,저녁,어묵탕,771
2024-04-15,아침,샤브샤브,674
2024-04-15,점심,삼겹살,521
2024-04-15,저녁,설렁탕,694
2024-04-16,아침,치즈라면,409
2024-04-16,점심,카레,553
2024-04-16,저녁,매운탕,718
2024-04-17,아침,돼지고기김치찜,310
2024-04-17,점심,카레,877
2024-04-17,저녁,순두부찌개,512
2024-04-18,아침,회덮밥,687
2024-04-18,점심,카레,672
2024-04-18,저녁,닭갈비,333
2024-04-19,아침,새우튀김,793
2024-04-19,점심,고추장불고기,669
2024-04-19,저녁,낙곱새,333
2024-04-20,아침,갈릭버터새우,582
2024-04-20,점심,전복죽,836
2024-04-20,저녁,돈까스,663
2024-04-21,아침,훈제오리샐러드,670
2024-04-21,점심,초밥,581
2024-04-21,저녁,아구찜,869
2024-04-22,아침,콩국수,861
2024-04-22,점심,삼겹살,308
2024-04-22,저녁,오리구이,750
2024-04-23,아침,순대국,302
2024-04-23,점심,비빔냉면,320
2024-04-23,저녁,전복죽,330
2024-04-24,아침,회덮밥,389
2024-04-24,점심,해물파전,596
2024-04-24,저녁,쭈꾸미볶음,774
2024-04-25,아침,회덮밥,762
2024-04-25,점심,돈까스카레,499
2024-04-25,저녁,계란말이,837
2024-04-26,아침,오리구이,549
2024-04-26,점심,훈제오리샐러드,510
2024-04-26,저녁,육개장,847
2024-04-27,아침,닭한마리,666
2024-04-27,점심,라면,642
2024-04-27,저녁,보쌈,427
2024-04-28,아침,수제비,664
2024-04-28,점심,비빔밥,468
2024-04-28,저녁,새우튀김,747
2024-04-29,아침,치즈돈까스,580
2024-04-29,점심,닭볶음탕,671
2024-04-29,저녁,물냉면,899
2024-04-30,아침,육회,626
2024-04-30,점심,전복죽,753
2024-04-30,저녁,새우장,884
2024-05-01,아침,바지락칼국수,304
2024-05-01,점심,오징어볶음,448
2024-05-01,저녁,어묵탕,777
2024-05-02,아침,쌀국수,708
2024-05-02,점심,북엇국,581
2024-05-02,저녁,부대찌개,554
2024-05-03,아침,감자탕,329
2024-05-03,점심,해물파전,728
2024-05-03,저녁,육개장,762
2024-05-04,아침,불닭볶음면,799
2024-05-04,점심,아구찜,537
2024-05-04,저녁,곱창전골,874
2024-05-05,아침,불닭볶음면,848
2024-05-05,점심,굴국밥,510
2024-05-05,저녁,불닭볶음면,704
2024-05-06,아침,돼지갈비,800
2024-05-06,점심,스시롤,573
2024-05-06,저녁,고기국수,570
2024-05-07,아침,코다리조림,696
2024-05-07,점심,갈릭버터새우,709
2024-05-07,저녁,돼지고기김치찜,574
2024-05-08,아침,해물탕,869
2024-05-08,점심,떡국,622
2024-05-08,저녁,우삼겹덮밥,782
2024-05-09,아침,부대찌개,573
2024-05-09,점심,닭볶음탕,739
2024-05-09,저녁,설렁탕,516
2024-05-10,아침,치즈떡볶이,762
2024-05-10,점심,육회,508
2024-05-10,저녁,아구찜,748
2024-05-11,아침,양장피,614
