날짜,breakfast,breakfast_embedding,lunch,lunch_embedding,dinner,dinner_embedding,breakfast_count,lunch_count,dinner_count,breakfast_cuisine,lunch_cuisine,dinner_cuisine,breakfast_kobert
2022-06-16,쇠고기당면국,"7.0, 2.4, 13.0",호박된장찌개,"16.77, 5.6, 15.01",쑥갓어묵국,"19.172017857142862, 7.075374999999995, 11.985875000000004",3,3,2,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-06-17,왕만두국,"29.95, 21.79, 24.12",홍합탕,"11.91, 7.58, 22.81",순두부찌개,"5.62, 17.99, 18.25",8,1,12,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[ 7.36243946  2.46154488 -0.13985035]
2022-06-18,시금치된장국,"17.48, 2.8, 7.91",국물떡볶이,"73.0, 0.9, 6.0",콩나물김치국,"1.79, 1.82, 1.92",4,5,4,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-06-19,단호박죽,"41.0, 1.2, 3.0",배추된장국,"8.64, 2.01, 3.8",감자짜글이,"32.0, 1.8, 5.0",1,2,7,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[ 7.17896622  2.29503857 -0.63458587]
2022-06-20,콩나물김치국,"1.79, 1.82, 1.92",광어매운탕,"20.828397887323945, 6.627411971830987, 11.344295774647893",쑥갓어묵국,"19.172017857142862, 7.075374999999995, 11.985875000000004",4,1,2,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[ 7.86645324 -0.48461474  0.45289151]
2022-06-21,쇠고기육개장,"6.0, 6.0, 8.0",황태해장국,"12.07, 4.14, 18.33",감자달걀국,"19.172017857142862, 7.075374999999995, 11.985875000000004",7,4,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-06-22,조갯살미역국,"19.016542810985488, 8.021147011308546, 12.768707592891765",삼치순살튀김,"20.828397887323945, 6.627411971830987, 11.344295774647893",순두부찌개,"5.62, 17.99, 18.25",4,1,12,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-06-23,왕만두국,"29.95, 21.79, 24.12",냉모밀,"51.38, 4.72, 7.98",짬뽕찌개,"19.172017857142862, 7.075374999999995, 11.985875000000004",8,4,12,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]",[ 7.36243946  2.46154488 -0.13985035]
2022-06-24,꼬리곰탕,"7.0, 13.0, 32.0",닭순살야채볶음,"5.8, 1.2, 24.0",햄소시지찌개,"19.172017857142862, 7.075374999999995, 11.985875000000004",6,1,3,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-06-25,베이글,"53.02, 1.7, 10.52",호박된장찌개,"16.77, 5.6, 15.01",짬뽕찌개,"19.172017857142862, 7.075374999999995, 11.985875000000004",1,3,12,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]",[ 6.13211487 -2.42536386 -0.28927845]
2022-06-26,돼지국밥,"19.016542810985488, 8.021147011308546, 12.768707592891765",쇠고기무국,"12.07, 8.62, 16.43",닭고기육개장,"6.0, 6.0, 8.0",3,10,14,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-06-27,맛김,"1.3, 1.5, 1.2",삶은계란,"0.56, 5.3, 6.29",스크램블에그,"1.96, 15.21, 13.01",1,1,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-06-28,사골곰탕,"0.0, 2.4, 3.0",쇠고기미역국,"16.08, 6.78, 15.06",쇠고기육개장,"6.0, 6.0, 8.0",6,12,8,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[ 7.30331726  0.29833033 -1.07592323]
2022-06-29,감자달걀국,"19.016542810985488, 8.021147011308546, 12.768707592891765",유부미소장국,"4.2, 1.1, 3.2",쇠고기감자국,"7.0, 2.4, 13.0",2,1,6,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-06-30,쇠고기당면국,"7.0, 2.4, 13.0",김치찌개,"6.38, 8.09, 8.17",모닝빵&딸기잼,"17.42, 1.43, 3.28",3,3,2,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-07-01,쇠고기호박찌개,"19.016542810985488, 8.021147011308546, 12.768707592891765",닭볶음탕,"9.4, 9.5, 25.72",비빔냉면,"75.92, 9.34, 17.37",10,8,3,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-07-02,불고기버거,"50.0, 22.0, 20.0",우동국1,"12.38, 2.74, 1.62",어묵탕,"13.06, 2.45, 13.11",15,1,6,"[0, 0, 0, 0, 1]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 1]",[ 7.48607388 -2.10948034 -0.0093923 ]
2022-07-03,순두부찌개,"5.62, 17.99, 18.25",쇠고기미역국,"16.08, 6.78, 15.06",유부주머니감자국,"19.172017857142862, 7.075374999999995, 11.985875000000004",14,12,2,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-07-04,북어채국,"3.28, 4.9, 12.81",닭고기육개장,"6.0, 6.0, 8.0",짬뽕찌개,"19.172017857142862, 7.075374999999995, 11.985875000000004",7,22,12,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]",[7.67562074 1.49186112 0.2993252 ]
2022-07-05,쇠고기무국,"12.07, 8.62, 16.43",감자탕,"10.01, 5.58, 14.74",북어들깨미역국,"11.76, 5.28, 2.78",40,3,4,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-07-06,갈비탕,"11.63, 31.26, 33.29",초계국수,"64.1, 7.55, 19.25",맑은된장국,"19.172017857142862, 7.075374999999995, 11.985875000000004",9,2,12,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[ 6.4286912  -0.47718827 -1.40225244]
2022-07-07,콩나물국,"5.87, 1.54, 2.17",호박된장국,"9.0, 0.9, 3.0",핫도그빵,"24.74, 2.16, 4.75",13,1,1,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[ 7.57316899  1.61730711 -0.16445224]
2022-07-08,두부고추장찌개,"13.53, 2.9, 6.9",쇠고기육개장,"6.0, 6.0, 8.0",참치김치찌개,"6.11, 4.71, 9.71",4,8,5,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-07-09,핫도그빵,"24.74, 2.16, 4.75",된장국,"9.93, 1.85, 5.55",사골우거지국,"6.0, 7.0, 14.0",8,7,6,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-07-10,순두부버섯탕,"19.0, 19.0, 21.0",꼬리곰탕,"7.0, 13.0, 32.0",목살김치찌개,"11.0, 23.0, 27.0",13,2,17,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-07-11,감자수제비국,"66.44, 6.59, 15.81",감자고추장찌개,"13.53, 2.9, 6.9",골뱅이쫄면,"27.0, 0.0, 6.0",9,8,2,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[ 7.68291494 -0.04797458  0.39687507]
2022-07-12,콩나물국,"5.87, 1.54, 2.17",돼지고기얼큰무국,"20.828397887323945, 6.627411971830987, 11.344295774647893",새우버거,"46.0, 26.0, 15.0",13,4,2,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[ 7.57316899  1.61730711 -0.16445224]
2022-07-13,건새우미역국,"82.0, 16.3, 16.2",현미밥,"20.828397887323945, 6.627411971830987, 11.344295774647893",사골우거지국,"6.0, 7.0, 14.0",3,1,6,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[8.02936223 1.26578202 1.0888405 ]
2022-07-14,유부된장국,"8.17, 2.48, 5.99",감자탕,"10.01, 5.58, 14.74",나가사키짬뽕국,"77.0, 6.0, 19.0",3,3,1,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-07-16,옥수수스프,"9.67, 4.64, 3.16",낙지덮밥,"20.828397887323945, 6.627411971830987, 11.344295774647893",쇠고기무국,"12.07, 8.62, 16.43",2,1,10,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[ 7.79363052 -1.1033278   0.4320728 ]
2022-07-18,떡만둣국,"68.42, 11.05, 15.0",돼지고기콩나물찌개,"17.0, 4.0, 12.0",쇠고기버섯들깨국,"19.172017857142862, 7.075374999999995, 11.985875000000004",6,5,5,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-07-19,얼갈이된장국,"21.0, 4.3, 9.0",쇠고기무국,"12.07, 8.62, 16.43",갈비탕,"11.63, 31.26, 33.29",1,10,2,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-07-20,황태해장국,"12.07, 4.14, 18.33",얼큰황태채국,"20.828397887323945, 6.627411971830987, 11.344295774647893",물냉면,"64.58, 5.74, 16.5",9,6,3,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[8.07116111 2.81667504 0.11841897]
2022-07-21,조갯살두부국,"19.016542810985488, 8.021147011308546, 12.768707592891765",돼지고기짜글이,"5.0, 8.0, 9.0",팝콘형치킨너겟,"19.172017857142862, 7.075374999999995, 11.985875000000004",2,1,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-07-22,유부된장국,"8.17, 2.48, 5.99",명태매운탕,"20.828397887323945, 6.627411971830987, 11.344295774647893",팽이버섯계란국,"19.172017857142862, 7.075374999999995, 11.985875000000004",3,3,6,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-07-23,햄베이컨치즈버거,"56.0, 15.0, 15.0",감자국,"9.86, 3.52, 4.54",어묵탕,"13.06, 2.45, 13.11",1,8,6,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[ 8.12023896 -3.4228946   0.66187996]
2022-07-25,감자국,"9.86, 3.52, 4.54",돼지고기김찌찌개,"15.0, 6.0, 10.0",순두부찌개,"5.62, 17.99, 18.25",3,9,12,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[ 6.62448668  2.95216845 -0.32293292]
2022-07-27,콩나물국,"5.87, 1.54, 2.17",홍합미역국,"4.0, 0.9, 5.0",생선묵볶음,"19.172017857142862, 7.075374999999995, 11.985875000000004",13,2,1,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[ 7.57316899  1.61730711 -0.16445224]
2022-07-28,감자계란국,"19.016542810985488, 8.021147011308546, 12.768707592891765",도토리묵사발,"33.0, 4.5, 2.0",만두김치찌개,"6.47, 7.57, 7.51",5,8,3,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-07-29,쇠고기무국,"12.07, 8.62, 16.43",우렁쇠고기된장찌개,"20.828397887323945, 6.627411971830987, 11.344295774647893",오징어무국,"3.8, 0.96, 10.35",40,1,11,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-07-30,에그햄치즈버거,"36.0, 18.0, 14.0",팽이버섯두부국,"20.828397887323945, 6.627411971830987, 11.344295774647893",어묵탕,"13.06, 2.45, 13.11",2,9,6,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[ 7.51806857 -3.89617863  0.6484215 ]
2022-08-01,쇠고기버섯들깨국,"19.016542810985488, 8.021147011308546, 12.768707592891765",돼지고기김찌찌개,"15.0, 6.0, 10.0",사골우거지국,"6.0, 7.0, 14.0",2,9,6,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-08-02,조갯살두부국,"19.016542810985488, 8.021147011308546, 12.768707592891765",두부햄찌개,"2.36, 6.78, 6.98",닭고기육개장,"6.0, 6.0, 8.0",2,4,14,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-08-03,황태해장국,"12.07, 4.14, 18.33",순두부찌개,"5.62, 17.99, 18.25",어묵콩나물국,"5.87, 1.54, 2.17",9,9,4,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[8.07116111 2.81667504 0.11841897]
2022-08-05,쇠고기무국,"12.07, 8.62, 16.43",전복미역국,"6.0, 1.5, 5.0",돼지국밥,"19.172017857142862, 7.075374999999995, 11.985875000000004",40,11,7,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-08-06,핫도그빵,"24.74, 2.16, 4.75",된장국,"9.93, 1.85, 5.55",떡만둣국,"68.42, 11.05, 15.0",8,7,2,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-08-07,쇠고기무국,"12.07, 8.62, 16.43",감자고추장찌개,"13.53, 2.9, 6.9",팽이버섯유부국,"19.172017857142862, 7.075374999999995, 11.985875000000004",40,8,1,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-08-09,북어채국,"3.28, 4.9, 12.81",쇠고기해장국,"3.0, 7.0, 30.0",콩나물국,"5.87, 1.54, 2.17",7,2,11,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[7.67562074 1.49186112 0.2993252 ]
2022-08-10,밥,"19.016542810985488, 8.021147011308546, 12.768707592891765",,"20.828397887323945, 6.627411971830987, 11.344295774647893",,"19.172017857142862, 7.075374999999995, 11.985875000000004",5,2,9,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[ 3.7101575  -0.00617387 -3.04989213]
2022-08-11,쇠고기무국,"12.07, 8.62, 16.43",나가사키짬뽕국,"77.0, 6.0, 19.0",북어들깨미역국,"11.76, 5.28, 2.78",40,1,4,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-08-12,생선묵계란국,"19.016542810985488, 8.021147011308546, 12.768707592891765",건새우미역국,"82.0, 16.3, 16.2",닭볶음탕,"9.4, 9.5, 25.72",1,2,7,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-08-13,킬바사,"12.0, 20.0, 14.0",유부된장국,"8.17, 2.48, 5.99",닭고기무국,"6.0, 1.1, 6.0",1,6,18,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[ 6.34766974 -0.90811312 -1.0002216 ]
2022-08-14,감자국,"9.86, 3.52, 4.54",콩나물국,"5.87, 1.54, 2.17",쇠고기장터국,"7.0, 3.7, 9.0",3,9,4,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[ 6.62448668  2.95216845 -0.32293292]
2022-08-17,미역된장국,"2.34, 0.08, 1.0",어묵탕,"13.06, 2.45, 13.11",순두부오징어탕,"19.172017857142862, 7.075374999999995, 11.985875000000004",4,2,4,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-08-18,쇠고기무국,"12.07, 8.62, 16.43",느타리버섯배추국,"20.828397887323945, 6.627411971830987, 11.344295774647893",쇠고기감자국,"7.0, 2.4, 13.0",40,6,6,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-08-19,감자계란국,"19.016542810985488, 8.021147011308546, 12.768707592891765",돼지고기얼큰무국,"20.828397887323945, 6.627411971830987, 11.344295774647893",배추된장국,"8.64, 2.01, 3.8",5,4,10,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-08-20,버팔로윙,"15.0, 11.0, 4.0",돼지국밥,"20.828397887323945, 6.627411971830987, 11.344295774647893",생선묵국,"19.172017857142862, 7.075374999999995, 11.985875000000004",2,4,4,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-08-21,팽이버섯계란국,"19.016542810985488, 8.021147011308546, 12.768707592891765",근대된장국,"5.82, 1.36, 3.47",목살김치찌개,"11.0, 23.0, 27.0",5,5,17,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-08-22,참치김치찌개,"6.11, 4.71, 9.71",쇠고기호박찌개,"20.828397887323945, 6.627411971830987, 11.344295774647893",오징어무국,"3.8, 0.96, 10.35",9,4,11,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-08-23,쇠고기무국,"12.07, 8.62, 16.43",감자짜글이,"32.0, 1.8, 5.0",만두김치찌개,"6.47, 7.57, 7.51",40,12,3,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-08-24,팽이버섯두부국,"19.016542810985488, 8.021147011308546, 12.768707592891765",아욱된장국,"4.88, 0.73, 2.68",순두부찌개,"5.62, 17.99, 18.25",6,10,12,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-08-25,,"19.016542810985488, 8.021147011308546, 12.768707592891765",야채음료,"20.828397887323945, 6.627411971830987, 11.344295774647893",깍두기,"3.21, 0.29, 0.62",8,1,3,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-3.6037333  -2.04695024 -5.11014571]
2022-08-26,갈비탕,"11.63, 31.26, 33.29",팽이버섯두부국,"20.828397887323945, 6.627411971830987, 11.344295774647893",맑은된장국,"19.172017857142862, 7.075374999999995, 11.985875000000004",9,9,12,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]",[ 6.4286912  -0.47718827 -1.40225244]
2022-08-27,불고기버거,"50.0, 22.0, 20.0",유부된장국,"8.17, 2.48, 5.99",감자수제비국,"66.44, 6.59, 15.81",15,6,5,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[ 7.48607388 -2.10948034 -0.0093923 ]
2022-08-28,두부햄찌개,"2.36, 6.78, 6.98",차돌박이된장찌개,"27.0, 28.0, 27.0",유부주머니감자국,"19.172017857142862, 7.075374999999995, 11.985875000000004",7,10,2,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-08-29,쇠고기무국,"12.07, 8.62, 16.43",흑미밥,"20.828397887323945, 6.627411971830987, 11.344295774647893",북어채국,"3.28, 4.9, 12.81",40,1,4,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-08-30,홍합미역국,"4.0, 0.9, 5.0",아욱된장국,"4.88, 0.73, 2.68",비빔국수,"74.1, 7.22, 14.76",4,10,1,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[7.77198166 2.21125872 0.42809307]
2022-08-31,쇠고기배춧국,"7.0, 2.4, 13.0",돼지고기콩나물찌개,"17.0, 4.0, 12.0",콩나물국,"5.87, 1.54, 2.17",2,5,11,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-09-01,돼지국밥,"19.016542810985488, 8.021147011308546, 12.768707592891765",쇠고기미역국,"16.08, 6.78, 15.06",유부된장국,"8.17, 2.48, 5.99",3,12,4,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[-4.62741593  0.0328805   0.09617663]
2022-09-02,쇠고기미역국,"16.08, 6.78, 15.06",두부고추장찌개,"13.53, 2.9, 6.9",느타리버섯배추국,"19.172017857142862, 7.075374999999995, 11.985875000000004",21,4,9,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",[-4.62741593  0.0328805   0.09617663]
2022-09-04,진한육개장,"16.0, 6.0, 18.0",돼지고기얼큰무국,"20.828397887323945, 6.627411971830987, 11.344295774647893",어묵탕,"13.06, 2.45, 13.11",5,4,6,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",[7.85956727 1.84040161 0.36574161]
