날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계,breakfast_embedding,lunch_embedding,dinner_embedding
2021-08-01,배추김치,8.75kcal,계란찜,87.76kcal,조미김,0kcal,,,2708.60kcal,,"[2.07, 10.11, 10.05, [1, 0, 0, 0, 0]]","[1.55, 1.91, 0.68, [1, 0, 0, 0, 0]]"
2021-08-01,우유(백색우유(200ML,122kcal,배추김치,8.75kcal,감자매운조림,71.45kcal,,,2708.60kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]",,"[6.66, 1.68, 0.79, [1, 0, 0, 0, 0]]"
2021-08-01,,,수박,52.992kcal,배추김치,8.75kcal,,,2708.60kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[7.55, 0.15, 0.61, [1, 0, 0, 0, 0]]",
2021-08-01,,,,,이온음료,58.8kcal,,,2708.60kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[38.0, 0.0, 0.0, [1, 0, 0, 0, 0]]"
2021-08-02,밥,363kcal,잡곡밥,391.54kcal,밥,363kcal,,,2708.49kcal,,,
2021-08-02,쇠고기미역국,23.53kcal,콩나물김치국,22.06kcal,두부고추장찌개,120.41kcal,,,2708.49kcal,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]","[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]","[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]"
2021-08-02,햄감자볶음,168.52kcal,오리고추장주물럭,302.93kcal,돈가스,645.02kcal,,,2708.49kcal,"[18.0, 7.0, 4.0, [1, 0, 0, 0, 0]]","[10.0, 5.0, 15.0, [1, 0, 0, 0, 0]]","[24.56, 30.6, 45.16, [1, 0, 0, 0, 0]]"
2021-08-02,오이양파무침,38.19kcal,모듬쌈,45.26kcal,방울토마토샐러드,76.78kcal,,,2708.49kcal,"[7.72, 1.55, 1.58, [1, 0, 0, 0, 0]]","[2.32, 0.11, 0.55, [1, 0, 0, 0, 0]]","[6.0, 1.0, 1.0, [1, 0, 0, 0, 0]]"
2021-08-02,배추김치,8.75kcal,배추김치,8.75kcal,배추김치,8.75kcal,,,2708.49kcal,,,
2021-08-02,우유(백색우유(200ML,122kcal,,,과채주스,8.75kcal,,,2708.49kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[16.8, 0.0, 0.4, [1, 0, 0, 0, 0]]"
2021-08-03,밥,363kcal,물냉면,908.84kcal,현미밥,384.78kcal,,,3482.47kcal,,"[64.58, 5.74, 16.5, [1, 0, 0, 0, 0]]",
2021-08-03,해물순두부찌개,115.7kcal,삶은계란,70.38kcal,돼지고기김치찌개,157.35kcal,,,3482.47kcal,"[13.31, 16.19, 25.76, [1, 0, 0, 0, 0]]","[0.56, 5.3, 6.29, [1, 0, 0, 0, 0]]","[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]"
2021-08-03,쇠고기버섯볶음,215.38kcal,무초절이,30.52kcal,양념치킨,823.57kcal,,,3482.47kcal,"[3.91, 6.23, 10.92, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[12.35, 16.21, 14.79, [1, 0, 0, 0, 0]]"
2021-08-03,콩나물무침,39.96kcal,열무김치,12.8kcal,깻잎조림,34.24kcal,,,3482.47kcal,"[5.99, 1.13, 2.31, [1, 0, 0, 0, 0]]",,"[4.25, 0.52, 1.99, [1, 0, 0, 0, 0]]"
2021-08-03,배추김치,8.75kcal,팥빙수,180kcal,깍두기,15.2kcal,,,3482.47kcal,,"[79.24, 2.96, 10.26, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2021-08-03,우유(백색우유(200ML,122kcal,,,,,,,3482.47kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-04,밀쌀밥,363.55kcal,돈육김치덮밥,619.94kcal,밥,363kcal,,,2726.32kcal,,,
2021-08-04,쇠고기무국,73.81kcal,닭고기육개장,127.56kcal,건새우애호박찌개,78.35kcal,,,2726.32kcal,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]","[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-04,햄슬라이스야채볶음,243.92kcal,조미김,0kcal,쇠고기불고기,335.87kcal,,,2726.32kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[1.55, 1.91, 0.68, [1, 0, 0, 0, 0]]","[9.74, 13.22, 36.47, [1, 0, 0, 0, 0]]"
2021-08-04,두부양념장,86.02kcal,단호박샐러드,103.6kcal,양배추쌈,62.36kcal,,,2726.32kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[20.0, 13.0, 1.0, [1, 0, 0, 0, 0]]","[5.58, 0.12, 1.44, [1, 0, 0, 0, 0]]"
2021-08-04,배추김치,8.75kcal,깍두기,15.2kcal,배추김치,8.75kcal,,,2726.32kcal,,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]",
2021-08-04,우유(백색우유(200ML,122kcal,복숭아,75.24kcal,짜먹는요구르트,38.4kcal,,,2726.32kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[9.35, 0.24, 0.89, [1, 0, 0, 0, 0]]","[12.0, 5.0, 6.0, [1, 0, 0, 0, 0]]"
2021-08-05,밥,363kcal,밥,363kcal,찰보리비빔밥,460.31kcal,,,2745.96kcal,,,
2021-08-05,들깨미역국,28.79kcal,짬뽕찌개,91.13kcal,두부김치국,60.19kcal,,,2745.96kcal,"[11.76, 5.28, 2.78, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[18.0, 26.0, 28.0, [1, 0, 0, 0, 0]]"
2021-08-05,닭순살감자조림,120.9kcal,돈육청경채볶음,373.14kcal,쇠고기볶음고추장,103.08kcal,,,2745.96kcal,"[9.97, 5.19, 10.37, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[25.0, 2.3, 4.0, [1, 0, 0, 0, 0]]"
2021-08-05,오이된장초무침,29.42kcal,콩나물야채튀김,373.81kcal,계란후라이,97.91kcal,,,2745.96kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0.43, 6.76, 6.24, [1, 0, 0, 0, 0]]"
2021-08-05,배추김치,8.75kcal,김자반,21.5kcal,깍두기,15.2kcal,,,2745.96kcal,,"[3.93, 4.58, 3.51, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2021-08-05,우유(백색우유(200ML,122kcal,배추김치,8.75kcal,,,,,2745.96kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-05,,,신선형),105.08kcal,,,,,2745.96kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[54.73, 2.3, 11.31, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-06,밥,363kcal,밥,363kcal,잡곡밥,391.54kcal,,,2886.11kcal,,,
2021-08-06,버섯감자찌개,67.22kcal,순두부국,76.38kcal,쇠고기육개장,87.35kcal,,,2886.11kcal,"[14.04, 1.86, 2.04, [1, 0, 0, 0, 0]]","[3.61, 2.62, 4.01, [1, 0, 0, 0, 0]]","[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]"
2021-08-06,돈육김치볶음,205.38kcal,데리야끼갈릭치킨,711.19kcal,잡채,164.31kcal,,,2886.11kcal,"[56.7, 9.5, 7.5, [1, 0, 0, 0, 0]]","[20.0, 7.0, 19.0, [1, 0, 0, 0, 0]]","[28.82, 6.78, 5.06, [1, 0, 0, 0, 0]]"
2021-08-06,연두부양념장,86.92kcal,오이풋고추된장무침,40.82kcal,고등어순살조림,142.9kcal,,,2886.11kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[6.19, 12.55, 19.0, [1, 0, 0, 0, 0]]"
2021-08-06,열무김치,12.8kcal,배추김치,8.75kcal,배추김치,8.75kcal,,,2886.11kcal,,,
2021-08-06,우유(백색우유(200ML,122kcal,자두,33.8kcal,,,,,2886.11kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[5.97, 0.15, 0.37, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-07,불고기버거,533.12kcal,흑미밥,381.75kcal,밥,363kcal,,,2704.25kcal,"[50.0, 22.0, 20.0, [1, 0, 0, 0, 0]]",,
2021-08-07,야채샐러드,110.86kcal,비엔나소시지김치찌개,188.33kcal,생선묵국,66.86kcal,,,2704.25kcal,"[3.22, 0.07, 1.25, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-07,시리얼,152.8kcal,조미김,0kcal,멸치고추장볶음,175.72kcal,,,2704.25kcal,"[27.4, 1.12, 2.39, [1, 0, 0, 0, 0]]","[1.55, 1.91, 0.68, [1, 0, 0, 0, 0]]","[21.0, 18.0, 18.0, [1, 0, 0, 0, 0]]"
2021-08-07,토마토슬라이스,8.91kcal,계란장조림,117.59kcal,닭고기야채조림,244.56kcal,,,2704.25kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[1.62, 4.63, 9.75, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-07,우유(백색우유(200ML,122kcal,오징어젓무침,38.4kcal,배추김치,8.75kcal,,,2704.25kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[34.0, 1.7, 9.0, [1, 0, 0, 0, 0]]",
2021-08-07,,,깍두기,15.2kcal,,,,,2704.25kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-07,,,워터젤리,176.4kcal,,,,,2704.25kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[24.0, 0.0, 0.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-08,찰보리밥,378.8kcal,밥,363kcal,밥,363kcal,,,2703.63kcal,,,
2021-08-08,중화식계란탕,102.23kcal,얼큰황태채국,33.63kcal,해물순두부찌개,115.7kcal,,,2703.63kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[13.31, 16.19, 25.76, [1, 0, 0, 0, 0]]"
2021-08-08,낙지야채볶음,241.5kcal,돼지불고기,469.72kcal,쇠고기야채볶음,191.82kcal,,,2703.63kcal,"[4.38, 11.22, 7.92, [1, 0, 0, 0, 0]]","[5.1, 12.36, 12.13, [1, 0, 0, 0, 0]]","[3.91, 6.23, 10.92, [1, 0, 0, 0, 0]]"
2021-08-08,오이양파무침,38.19kcal,모듬쌈,45.26kcal,콩나물매운무침,40.53kcal,,,2703.63kcal,"[7.72, 1.55, 1.58, [1, 0, 0, 0, 0]]","[2.32, 0.11, 0.55, [1, 0, 0, 0, 0]]","[5.99, 1.13, 2.31, [1, 0, 0, 0, 0]]"
2021-08-08,배추김치,8.75kcal,배추김치,8.75kcal,가공우유,126kcal,,,2703.63kcal,,,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-08,우유(백색우유(200ML,122kcal,사과 주스,46kcal,배추김치,8.75kcal,,,2703.63kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[28.97, 0.27, 0.15, [1, 0, 0, 0, 0]]",
2021-08-09,밥,363kcal,깐풍버섯덮밥,505.78kcal,잡곡밥,391.54kcal,,,2705.72kcal,,,
2021-08-09,돼지고기육개장,114.15kcal,쇠고기미역국,23.53kcal,콩나물김치국,22.06kcal,,,2705.72kcal,"[6.0, 4.3, 8.0, [1, 0, 0, 0, 0]]","[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]","[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]"
2021-08-09,고추잡채,207.25kcal,조미김,0kcal,안동찜닭,260.18kcal,,,2705.72kcal,"[7.79, 9.59, 14.16, [1, 0, 0, 0, 0]]","[1.55, 1.91, 0.68, [1, 0, 0, 0, 0]]","[31.64, 15.39, 27.85, [1, 0, 0, 0, 0]]"
2021-08-09,계란찜,87.76kcal,삼치순살조림,100.64kcal,감자조림,48.13kcal,,,2705.72kcal,"[2.07, 10.11, 10.05, [1, 0, 0, 0, 0]]","[3.51, 3.85, 11.39, [1, 0, 0, 0, 0]]","[6.66, 1.68, 0.79, [1, 0, 0, 0, 0]]"
2021-08-09,배추김치,8.75kcal,배추김치,8.75kcal,깍두기,15.2kcal,,,2705.72kcal,,,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2021-08-09,우유(백색우유(200ML,122kcal,건빵,249kcal,우유(백색우유(200ML,122kcal,,,2705.72kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[2.09, 0.47, 0.23, [1, 0, 0, 0, 0]]","[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]"
2021-08-09,,,유산균 발효 음료,56kcal,,,,,2705.72kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[33.39, 0.0, 0.5, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-10,밥,363kcal,찹쌀밥,398.9kcal,밥,363kcal,,,3857.64kcal,,,
2021-08-10,쇠고기무국,73.81kcal,삼계탕,876.55kcal,건새우애호박찌개,78.35kcal,,,3857.64kcal,"[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]","[20.41, 15.89, 55.5, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-10,비엔나소시지케찹볶음,331.95kcal,모듬야채,72.13kcal,돈육새송이야채볶음,291.2kcal,,,3857.64kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.8, 0.17, 0.87, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-10,꽈리고추멸치조림,105.83kcal,깍두기,15.2kcal,두부강정,515.23kcal,,,3857.64kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[23.47, 6.21, 5.74, [1, 0, 0, 0, 0]]"
2021-08-10,배추김치,8.75kcal,수박,52.992kcal,배추김치,8.75kcal,,,3857.64kcal,,"[7.55, 0.15, 0.61, [1, 0, 0, 0, 0]]",
2021-08-10,우유(백색우유(200ML,122kcal,,,감귤 주스,180kcal,,,3857.64kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[25.79, 0.5, 1.74, [1, 0, 0, 0, 0]]"
2021-08-11,밥,363kcal,밥,363kcal,현미밥,384.78kcal,,,2927.83kcal,,,
2021-08-11,돼지고기김치찌개,157.35kcal,닭볶음탕,260.18kcal,들깨미역국,28.79kcal,,,2927.83kcal,"[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]","[9.4, 9.5, 25.72, [1, 0, 0, 0, 0]]","[11.76, 5.28, 2.78, [1, 0, 0, 0, 0]]"
2021-08-11,감자풋고추볶음,75.57kcal,오징어튀김&칠리소스,644.44kcal,돈육호박볶음,192.72kcal,,,2927.83kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[6.44, 2.12, 5.8, [1, 0, 0, 0, 0]]","[6.99, 10.24, 1.6, [1, 0, 0, 0, 0]]"
2021-08-11,전복장조림,66.56kcal,두부조림,92.58kcal,계란찜,87.76kcal,,,2927.83kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[2.51, 9.94, 6.42, [1, 0, 0, 0, 0]]","[2.07, 10.11, 10.05, [1, 0, 0, 0, 0]]"
2021-08-11,열무김치,12.8kcal,배추김치,8.75kcal,배추김치,8.75kcal,,,2927.83kcal,,,
2021-08-11,우유(백색우유(200ML,122kcal,이온음료,58.8kcal,,,,,2927.83kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[38.0, 0.0, 0.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-12,밥,363kcal,잡곡밥,391.54kcal,햄치즈버거,484.92kcal,,,3264.59kcal,,,"[42.0, 17.0, 18.0, [1, 0, 0, 0, 0]]"
2021-08-12,쇠고기모듬버섯찌개,68.29kcal,콩나물김치국,22.06kcal,감자튀김,401.16kcal,,,3264.59kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]","[20.33, 8.01, 1.98, [1, 0, 0, 0, 0]]"
2021-08-12,마파두부,219.14kcal,중화풍삼겹살조림,555.59kcal,시리얼,152.8kcal,,,3264.59kcal,"[2.39, 7.87, 8.47, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[27.4, 1.12, 2.39, [1, 0, 0, 0, 0]]"
2021-08-12,생선묵조림,134.06kcal,모듬쌈,45.26kcal,야채샐러드,110.86kcal,,,3264.59kcal,"[5.74, 2.81, 11.97, [1, 0, 0, 0, 0]]","[2.32, 0.11, 0.55, [1, 0, 0, 0, 0]]","[3.22, 0.07, 1.25, [1, 0, 0, 0, 0]]"
2021-08-12,배추김치,8.75kcal,오이소박이,20.35kcal,토마토슬라이스,8.91kcal,,,3264.59kcal,,"[5.39, 0.38, 1.41, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-12,짜먹는요구르트,38.4kcal,,,탄산음료,117.5kcal,,,3264.59kcal,"[12.0, 5.0, 6.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-12,,,,,우유(백색우유(200ML,122kcal,,,3264.59kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]"
2021-07-14,배추김치,11.25kcal,백김치,15.12kcal,총각김치,16.4kcal,,,2988.88kcal,,"[4.75, 0.19, 1.21, [1, 0, 0, 0, 0]]",
2021-07-14,우유(백색우유(200ML,122kcal,복숭아,56.58kcal,이온음료,58.8kcal,,,2988.88kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[9.35, 0.24, 0.89, [1, 0, 0, 0, 0]]","[38.0, 0.0, 0.0, [1, 0, 0, 0, 0]]"
2021-07-15,밥,363kcal,찰보리밥,391.44kcal,새우버거,928.5kcal,,,3162.19kcal,,,"[46.0, 26.0, 15.0, [1, 0, 0, 0, 0]]"
2021-07-15,쇠고기감자국,60.44kcal,콩나물냉국,40.62kcal,감자튀김,345.91kcal,,,3162.19kcal,"[7.0, 2.4, 13.0, [1, 0, 0, 0, 0]]","[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]","[20.33, 8.01, 1.98, [1, 0, 0, 0, 0]]"
2021-07-15,연두부양념장,87.98kcal,오삼불고기,453.67kcal,탄산음료,117.5kcal,,,3162.19kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[6.02, 8.64, 11.35, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-15,토마토상추겉절이,39.15kcal,김자반,21.5kcal,우유(백색우유(200ML,122kcal,,,3162.19kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.93, 4.58, 3.51, [1, 0, 0, 0, 0]]","[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]"
2021-07-15,배추김치,11.25kcal,무쌈말이,62.9kcal,,,,,3162.19kcal,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-15,연세검은콩두유,200mL,배추김치,11.25kcal,,,,,3162.19kcal,"[8.0, 5.1, 5.0, [1, 0, 0, 0, 0]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-15,,,신선형),105.08kcal,,,,,3162.19kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[54.73, 2.3, 11.31, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-16,밥,363kcal,자장밥,787.26kcal,밀쌀밥,363.83kcal,,,2981.16kcal,,,
2021-07-16,순두부국,53.99kcal,사천식탕수육,524.28kcal,광어매운탕,96.25kcal,,,2981.16kcal,"[3.61, 2.62, 4.01, [1, 0, 0, 0, 0]]","[65.89, 24.45, 26.82, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-16,계란찜,100.73kcal,총각김치,16.4kcal,감자채볶음,128.96kcal,,,2981.16kcal,"[2.07, 10.11, 10.05, [1, 0, 0, 0, 0]]",,"[15.24, 6.03, 1.63, [1, 0, 0, 0, 0]]"
2021-07-16,쇠고기부추무침,113.27kcal,단무지,11.16kcal,닭고기오이냉채,170.48kcal,,,2981.16kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0.98, 0.06, 0.21, [1, 0, 0, 0, 0]]","[7.0, 3.5, 12.0, [1, 0, 0, 0, 0]]"
2021-07-16,배추김치,11.25kcal,오렌지 주스,96kcal,배추김치,11.25kcal,,,2981.16kcal,,"[25.79, 0.5, 1.74, [1, 0, 0, 0, 0]]",
2021-07-16,우유(백색우유(200ML,122kcal,,,대추방울토마토,11.05kcal,,,2981.16kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[3.54, 0.18, 0.79, [1, 0, 0, 0, 0]]"
2021-07-17,핫도그빵,849.78kcal,라면,365kcal,,,,,1336.78kcal,"[24.74, 2.16, 4.75, [1, 0, 0, 0, 0]]","[55.68, 14.54, 7.9, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-17,우유(백색우유(200ML,122kcal,,,,,,,1336.78kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-18,밥,363kcal,밥,363kcal,밥,363kcal,,,2749.24kcal,,,
2021-07-18,콩나물김치국,34.94kcal,돼지고기무찌개,101.31kcal,버섯쇠고기찌개,55.1kcal,,,2749.24kcal,"[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]","[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-07-18,닭순살피망볶음,205.12kcal,매콤갑오징어볶음,164.71kcal,돼지고기된장불고기,326.33kcal,,,2749.24kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[39.04, 9.4, 14.62, [1, 0, 0, 0, 0]]","[25.0, 24.0, 23.0, [1, 0, 0, 0, 0]]"
2021-07-18,오이부추무침,22.39kcal,맛김,0kcal,양배추쌈,83.34kcal,,,2749.24kcal,"[7.72, 1.55, 1.58, [1, 0, 0, 0, 0]]","[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]","[5.58, 0.12, 1.44, [1, 0, 0, 0, 0]]"
2021-07-18,혼합시리얼,115kcal,두부조림,174.91kcal,총각김치,16.4kcal,,,2749.24kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[2.51, 9.94, 6.42, [1, 0, 0, 0, 0]]",
